ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
03690.HK,20260226,82.7,83.2,80.35,80.45,82.7,-2.25,-2.72,40036885.0,3220967276.067
03690.HK,20260227,81.0,82.45,80.45,81.15,80.45,0.7,0.87,42462533.0,3445834617.743
03690.HK,20260302,79.6,80.2,77.1,77.4,81.15,-3.75,-4.62,57081668.0,4418121190.3
03690.HK,20260303,77.25,78.15,75.35,75.65,77.4,-1.75,-2.26,64441703.0,4875014930.28
03690.HK,20260304,74.65,75.65,73.6,75.4,75.65,-0.25,-0.33,62511701.0,4713382350.785
03690.HK,20260305,76.65,76.65,73.85,74.5,75.4,-0.9,-1.19,44459291.0,3312217179.5
03690.HK,20260306,74.5,77.95,73.65,76.85,74.5,2.35,3.15,81436279.0,6258377916.888
03690.HK,20260309,74.4,79.0,74.0,78.7,76.85,1.85,2.41,67180598.0,5287112857.581
03690.HK,20260310,80.0,80.55,77.55,79.1,78.7,0.4,0.51,46241432.0,3657697200.641
03690.HK,20260311,79.15,79.6,76.65,77.4,79.1,-1.7,-2.15,39917143.0,3089586929.109
03690.HK,20260312,76.5,77.2,75.4,76.7,77.4,-0.7,-0.9,37947010.0,2910535551.195
03690.HK,20260313,76.0,77.4,75.85,75.95,76.7,-0.75,-0.98,18836697.0,1430647079.665
03690.HK,20260316,76.9,79.0,76.5,78.3,75.95,2.35,3.09,38287519.0,2997912854.544
03690.HK,20260317,78.45,82.2,78.4,80.0,78.3,1.7,2.17,52313278.0,4185062240.0
03690.HK,20260318,80.55,81.4,79.6,80.3,80.0,0.3,0.38,26863720.0,2157156797.982
03690.HK,20260319,78.7,81.55,78.5,80.7,80.3,0.4,0.5,50616607.0,4084760030.43
03690.HK,20260320,81.55,82.65,78.15,79.15,80.7,-1.55,-1.92,64632837.0,5115689147.172
03690.HK,20260323,77.8,78.5,75.85,76.55,79.15,-2.6,-3.28,54303511.0,4156933932.771
03690.HK,20260324,76.75,79.2,76.75,79.0,76.55,2.45,3.2,44636705.0,3526299695.0
03690.HK,20260325,79.95,91.55,78.55,90.0,79.0,11.0,13.92,252756064.0,22748045760.0
03690.HK,20260326,90.0,90.65,85.5,86.7,90.0,-3.3,-3.67,121140962.0,10502921035.707
03690.HK,20260327,86.15,90.7,84.7,85.9,86.7,-0.8,-0.92,99424658.0,8540578273.91
03690.HK,20260330,83.7,86.6,82.7,84.2,85.9,-1.7,-1.98,60221748.0,5070670997.818
03690.HK,20260331,83.8,84.8,82.5,82.95,84.2,-1.25,-1.48,41291471.0,3425127393.438
03690.HK,20260401,85.0,85.6,80.95,81.95,82.95,-1.0,-1.21,57818900.0,4738258678.551
03690.HK,20260402,81.3,81.5,78.7,80.25,81.95,-1.7,-2.07,47181021.0,3786276935.25
03690.HK,20260408,82.55,89.9,82.5,88.5,80.25,8.25,10.28,106097187.0,9389601049.5
03690.HK,20260409,87.25,89.7,86.9,88.0,88.5,-0.5,-0.56,34932772.0,3074083936.0
03690.HK,20260410,88.25,90.85,87.3,87.6,88.0,-0.4,-0.45,31529595.0,2761992473.89
03690.HK,20260413,86.7,87.1,85.3,86.45,87.6,-1.15,-1.31,23659777.0,2045387649.446
03690.HK,20260414,87.4,87.9,83.75,85.1,86.45,-1.35,-1.56,36646937.0,3118654282.781
03690.HK,20260415,86.05,88.2,85.3,86.3,85.1,1.2,1.41,37510423.0,3237149619.373
03690.HK,20260416,86.85,89.45,86.0,88.75,86.3,2.45,2.84,44399802.0,3940482427.5
