ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
00100.HK,20260417,900.5,903.0,840.0,859.0,900.5,-41.5,-4.61,796440.0,682873161.46
00100.HK,20260420,890.0,920.0,858.0,911.5,859.0,52.5,6.11,1463660.0,1309581545.2
00100.HK,20260421,912.0,916.0,870.0,898.5,911.5,-13.0,-1.43,544920.0,484287561.14
00100.HK,20260422,880.0,957.0,876.0,928.0,898.5,29.5,3.28,1224475.0,1135977621.7
00100.HK,20260423,931.0,943.0,850.0,858.5,928.0,-69.5,-7.49,1680946.0,1491745360.06
00100.HK,20260424,880.0,880.0,750.0,777.5,858.5,-81.0,-9.44,2532443.0,2028818459.64
00100.HK,20260427,755.0,770.0,660.0,750.0,777.5,-27.5,-3.54,3962112.0,2783201374.18
00100.HK,20260428,762.0,775.0,706.0,723.5,750.0,-26.5,-3.53,1252355.0,919543775.1
00100.HK,20260429,723.5,748.0,706.5,708.0,723.5,-15.5,-2.14,784270.0,568359436.0
00100.HK,20260430,685.0,723.0,685.0,713.0,708.0,5.0,0.71,853408.0,601438617.5
00100.HK,20260504,749.0,809.5,748.5,803.0,713.0,90.0,12.62,1822148.0,1437550971.12
00100.HK,20260505,827.0,827.0,771.5,782.5,803.0,-20.5,-2.55,868525.0,686423931.12
00100.HK,20260506,790.0,805.0,763.0,802.5,782.5,20.0,2.56,867363.0,682333254.86
00100.HK,20260507,810.0,830.0,785.0,820.5,802.5,18.0,2.24,1254065.0,1010072785.3
00100.HK,20260508,801.0,802.0,740.0,742.5,820.5,-78.0,-9.51,1159326.0,881234467.78
00100.HK,20260511,744.5,748.0,708.5,737.0,742.5,-5.5,-0.74,923004.0,671038402.0
00100.HK,20260512,738.0,744.5,680.5,690.5,737.0,-46.5,-6.31,1256704.0,881741911.905
00100.HK,20260513,690.0,818.0,687.0,818.0,690.5,127.5,18.46,2590427.0,1991534085.02
00100.HK,20260514,825.5,875.0,806.0,850.0,818.0,32.0,3.91,2371156.0,2015311896.02
00100.HK,20260515,867.0,868.0,765.0,794.0,850.0,-56.0,-6.59,1469536.0,1170386252.12
00100.HK,20260518,768.0,827.5,763.0,800.0,794.0,6.0,0.76,1029083.0,815274581.54
00100.HK,20260519,780.0,783.5,725.0,742.5,800.0,-57.5,-7.19,822165.0,612511998.46
00100.HK,20260520,728.0,737.5,682.0,687.0,742.5,-55.5,-7.47,1200985.0,834865862.3
00100.HK,20260521,720.0,755.0,660.0,663.0,687.0,-24.0,-3.49,1273253.0,868582076.5
00100.HK,20260522,677.0,798.5,651.0,768.5,663.0,105.5,15.91,3752671.0,2779229034.88
00100.HK,20260526,776.5,837.5,690.0,769.0,768.5,0.5,0.07,3665341.0,2792580670.86
00100.HK,20260527,830.0,856.0,808.0,850.0,769.0,81.0,10.53,3321813.0,2756902902.38
00100.HK,20260528,850.0,860.0,813.0,837.0,850.0,-13.0,-1.53,1857441.0,1557627180.08
00100.HK,20260529,859.5,918.0,805.0,840.0,837.0,3.0,0.36,5377496.0,4641690235.36
00100.HK,20260601,884.0,907.5,702.0,708.0,840.0,-132.0,-15.71,4107911.0,3125489105.5
00100.HK,20260602,708.0,722.0,662.5,667.5,708.0,-40.5,-5.72,2291224.0,1552043029.22
00100.HK,20260603,665.0,704.0,660.5,675.0,667.5,7.5,1.12,1245510.0,849690923.8
00100.HK,20260604,674.0,682.0,661.0,663.5,675.0,-11.5,-1.7,729361.0,487356508.04
00100.HK,20260605,660.0,663.0,550.0,553.0,663.5,-110.5,-16.65,3081812.0,1779606046.12
00100.HK,20260608,525.0,528.5,490.0,508.0,553.0,-45.0,-8.14,3107562.0,1561692831.36
00100.HK,20260609,508.5,515.0,460.0,464.4,508.0,-43.6,-8.58,2557091.0,1209828614.22
00100.HK,20260610,456.2,464.2,418.0,451.8,464.4,-12.6,-2.71,1786089.0,783085067.7
00100.HK,20260611,433.0,458.0,418.2,435.0,451.8,-16.8,-3.72,1161805.0,501867684.7
00100.HK,20260612,443.4,449.4,391.2,396.0,435.0,-39.0,-8.97,1889499.0,769291080.52
00100.HK,20260615,417.0,432.8,377.0,423.8,396.0,27.8,7.02,5188551.0,2119446877.66
00100.HK,20260616,435.0,435.0,402.8,416.6,423.8,-7.2,-1.7,2099023.0,875087759.872
00100.HK,20260617,406.0,470.0,402.0,443.0,416.6,26.4,6.34,3080792.0,1380171666.04
00100.HK,20260618,460.0,498.0,440.6,497.6,443.0,54.6,12.33,3895926.0,1859200898.02
00100.HK,20260622,520.0,637.5,502.0,616.5,497.6,118.9,23.89,5966176.0,3506526016.68
00100.HK,20260623,640.0,640.5,494.6,515.0,616.5,-101.5,-16.46,3596402.0,1957634933.18
00100.HK,20260624,504.5,533.5,473.0,477.6,515.0,-37.4,-7.26,2419712.0,1201235764.18
00100.HK,20260625,498.0,503.0,446.2,456.6,477.6,-21.0,-4.4,1469988.0,684215707.82
00100.HK,20260626,445.8,450.0,403.0,427.0,456.6,-29.6,-6.48,1453129.0,604972419.7
00100.HK,20260629,420.0,448.0,407.2,429.4,427.0,2.4,0.56,935356.0,399030313.88
00100.HK,20260630,429.4,439.6,413.0,417.0,429.4,-12.399999999999977,-2.8877503493246337,780000.0,325260000.0
