draw,peer_reaction_mean_car_pct,peer_drift_mean_car_pct
153,6.975,1.7799999999999967
154,4.304999999999999,-16.075000000000003
155,1.4625000000000004,-13.385
156,2.46,19.96
157,2.7125000000000004,24.494999999999997
158,8.8825,23.902499999999996
159,10.8675,-6.357500000000002
160,0.9299999999999997,20.402499999999996
161,2.4749999999999983,10.639999999999997
162,3.3074999999999983,31.8675
163,-2.74,14.222499999999998
164,7.744999999999998,4.427499999999997
165,-0.47499999999999964,20.55
166,8.0525,14.965
167,18.02,-8.304999999999996
168,2.6275,21.667499999999997
169,-5.927500000000002,-0.6475000000000009
170,4.792499999999999,19.740000000000002
171,9.1875,-1.9400000000000022
172,-10.5625,14.525
173,1.1974999999999985,-5.807500000000003
174,1.4,19.209999999999997
175,6.182499999999999,3.0500000000000007
176,-0.2700000000000009,37.232499999999995
177,9.9575,12.5075
178,7.69,20.72
179,15.819999999999997,2.5949999999999998
180,8.715,-1.4399999999999995
181,4.327500000000001,-1.6024999999999991
182,13.262500000000001,23.35
183,-6.607500000000001,7.1275
184,4.92,8.004999999999997
185,-1.9024999999999994,3.9325
186,-12.9675,18.224999999999998
187,-0.0024999999999997247,-5.554999999999998
188,-1.8125000000000004,21.505
189,9.08,18.5375
190,1.7174999999999998,1.959999999999999
191,0.7499999999999994,-31.0825
192,-9.3875,11.672499999999998
193,-5.6325,13.069999999999997
194,-6.62,-7.042500000000002
195,-0.23500000000000032,-21.375
196,7.2574999999999985,29.5225
197,-10.910000000000002,17.762499999999996
198,-0.17249999999999965,21.89
199,10.092500000000001,10.669999999999998
200,7.275,15.912499999999998
201,1.98,15.074999999999998
202,10.314999999999998,-27.04
203,-17.8475,-3.1324999999999985
204,-2.235,13.964999999999998
205,0.7625000000000002,-3.2249999999999974
206,3.3474999999999997,0.6699999999999999
207,-4.585,10.629999999999999
208,-9.42,16.739999999999995
209,-2.025000000000001,19.7525
210,7.775,10.737499999999997
211,-0.16999999999999948,-9.767499999999998
212,-9.712499999999999,6.089999999999998
213,2.732499999999999,24.275
214,4.39,27.557499999999997
215,-0.05000000000000071,30.6575
216,3.747499999999999,20.744999999999997
217,1.5874999999999995,22.1225
218,9.805,-3.912500000000002
219,12.642499999999998,18.345
